ListingMonth,host_total_listings,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,number_of_reviews,review_scores_rating,reviews_per_month,PricePerNight
3.9,2,2,1,1,1,1,2,93,99,2.07,48
2.9,1,8,1,1,4,3,2,68,93,2,74
4.9,25,4,1,1,2,1,13,3,100,0.41,127
6,1,5,2,2,4,1,2,70,99,1.68,244
3.7,5,2,1,1,1,2,1,8,93,1.03,37
6.2,3,4,1,2,2,4,2,34,94,2.41,162
2.3,6,16,2,4,7,6,1,15,92,1.38,299
5.5,2,2,1,1,1,2,2,2,100,0.1,116
4.7,1,6,1,2,3,4,1,5,100,1.4,68
3.6,5,8,2,3,5,1,4,50,97,1.17,174
10,10,2,1,1,1,1,2,1,100,0.16,46
5.4,8,4,2.5,1,2,1,1,422,95,8.3,23
5.3,16,6,2.5,2,3,6,3,1,100,0.57,116
5.4,1,5,1,2,2,1,1,9,100,0.52,190
4.8,1,5,1,2,2,2,1,76,100,3.74,84
4.4,63,3,1,1,1,2,1,34,95,4.79,24
6.8,0,3,1,0,1,2,2,14,99,2.61,79
1.5,4,8,3,3,8,8,3,1,100,0.06,501
7.5,2,2,1,1,1,1,2,63,97,1.08,86
1.6,38,12,2,3,7,1,1,4,100,3.53,790
2.7,4,4,1,1,2,2,1,95,96,3.05,94
1.6,38,16,3,4,8,1,1,17,99,2.54,448
0.5,19,12,1,3,3,6,1,1,100,0.61,164
1.8,1,6,1,2,4,4,2,69,97,5.36,101
3.8,0,2,1,1,1,2,2,22,100,3.27,89
6.1,2,4,1,2,2,2,1,148,98,4.09,109
7.1,4,2,1.5,1,2,2,2,231,98,2.76,64
3.3,1,3,1,1,1,2,1,5,100,0.28,63
7.4,77,4,2,2,2,1,31,5,96,0.09,297
5.5,2,4,2,2,2,1,3,32,97,0.49,124
7.7,16,2,2,1,1,1,1,85,96,3.47,20
5.1,2,2,1,1,1,1,4,9,100,1.2,197
3.5,38,8,2,2,4,4,2,7,100,2.66,150
2.1,2,2,1,2,2,1,4,9,84,0.38,77
7.4,77,4,2,2,2,1,31,5,92,0.08,248
4.8,2,2,1,1,1,1,1,194,100,10.64,104
3.2,4,4,1,2,2,4,1,116,96,5.24,85
3.6,1,1,1,1,1,1,2,42,98,1.78,63
8.1,1,4,2,2,2,4,2,8,98,0.69,120
7,1,15,3.5,5,11,1,2,29,100,1.36,890
7.8,15,10,3,5,7,1,4,17,93,1.83,200
4.2,1,4,1,1,2,2,2,34,92,2.75,79
5.2,0,6,1,3,4,6,2,10,100,2.26,150
6.1,896,8,3,4,4,8,2,23,93,1.41,248
2.5,22,4,1,2,2,1,1,23,95,4.34,498
2.2,58,11,2,3,3,6,1,76,91,3.54,99
8,1,2,1,1,1,1,2,222,95,3.27,107
6.6,1,5,1,2,2,1,1,1,100,0.1,150
6.6,1283,4,2,2,2,4,2,12,98,1.07,255
4.8,16,2,1,1,1,1,2,14,94,0.27,56
4.9,25,6,2,2,3,1,17,6,92,0.13,290
4.6,6,1,1,1,1,1,1,87,94,2.15,32
5.2,1,6,1.5,3,3,1,2,6,93,1.14,303
2.2,44,7,1,2,4,1,1,52,98,4.29,304
6.6,1,6,2,2,3,6,2,118,99,3.48,130
3.2,1,10,2,3,6,10,2,54,94,2.97,123
6.6,2,1,1,1,1,1,1,8,90,0.15,56
0.5,0,4,1,1,2,4,3,1,100,0.35,147
4.8,26,8,2,2,4,1,1,116,95,3.77,195
2.6,2,4,1,1,1,2,2,88,95,3.7,77
8.2,3,2,1,1,1,1,2,35,97,1.13,48
2.2,58,5,1,3,3,5,1,6,80,1.75,94
9.4,5,6,2.5,1,4,4,2,150,96,1.38,180
2.6,22,8,2,3,5,6,3,42,93,2.7,305
1.3,569,2,1,0,0,1,1,5,100,4.29,42
